Date,Text
7/22/19 23:22,b'@RunMorgans @justjanedoee @lbasscook @TheGussReport @tedlieu @realDonaldTrump @betty_lieu @FBILosAngeles It\xe2\x80\x99s cute\xe2\x80\xa6 https://t.co/H1KDPrq4u4'
,
7/22/19 23:22,b'@kristirice47 @realDonaldTrump Oo the good old days'
,
7/22/19 23:22,b'@RealOmarNavarro @realDonaldTrump You have a better chance at beating Mike Tyson in a street fight.'
,
7/22/19 23:22,"b""@RNCastaldo @realDonaldTrump Wow, flocking to ya I'm drives guy!! Way to get a following."""
,
7/22/19 23:22,b'@realDonaldTrump You\xe2\x80\x99re so funny: https://t.co/y3KyVn0I3k'
,
7/22/19 23:22,b'@realDonaldTrump How much money did you waste and how many programs had to be cut bc you thought it was an emergenc\xe2\x80\xa6 https://t.co/zS6qXuC9Vl'
,
7/22/19 23:22,b'@realDonaldTrump Resign.'
,
7/22/19 23:22,b'@TomFitton @realDonaldTrump Should also ask -which Democrats did you meet with to prepare for your testimony?\n\nThus\xe2\x80\xa6 https://t.co/XCgwp79bJw'
,
7/22/19 23:22,"b""@Ohdaneit @RealOmarNavarro @realDonaldTrump Loosers? What's he loosening?"""
,
7/22/19 23:22,b'@realDonaldTrump Powerful walls?'
,
7/22/19 23:22,b'@ringleaderrt30 @CarlosSimancas @RKanellas @SpeakerPelosi @SecretService @RashidaTlaib @POTUS @realDonaldTrump Exac\xe2\x80\xa6 https://t.co/Dtrr4AaHXA'
,
7/22/19 23:22,b'@pushforward40 @RealMattCouch @realDonaldTrump I thought that old crow was dead.'
,
7/22/19 23:22,b'@realDonaldTrump Fake Presidents are the enemy of the people'
,
7/22/19 23:22,"b'@OneVoiceUS @TrueReality9 @realDonaldTrump As you said, I have a right to my opinion. I\xe2\x80\x99m sorry it offends you. I\xe2\x80\x99m\xe2\x80\xa6 https://t.co/5OtDso1Apn'"
,
7/22/19 23:22,b'@RealOmarNavarro @realDonaldTrump For 3 years you have been asking. Earn it!!!'
,
7/22/19 23:22,"b'@RNCastaldo @realDonaldTrump No, people are with #TheSquad \nRT if you agree!\nhttps://t.co/8dibIsrC9h'"
,
7/22/19 23:22,b'@realDonaldTrump I guess debt only matters to Republicans when Democrats are in charge huh?'
,
7/22/19 23:22,b'@DonnaNeedham10 @KSD371 @AndyOstroy @realDonaldTrump Why don\xe2\x80\x99t you fascists leave.'
,
7/22/19 23:22,b'@realDonaldTrump You deserve zero credit.  Devider n chief.  \xf0\x9f\x98\x9d\xf0\x9f\x98\x9d\xf0\x9f\x98\x9d\xf0\x9f\x98\x9d\xf0\x9f\x98\x9d\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\xa4\xae\xf0\x9f\xa4\xae\xf0\x9f\xa4\xae\xf0\x9f\xa4\xa5\xf0\x9f\xa4\xae\xf0\x9f\xa4\xae\xf0\x9f\xa4\xae\xf0\x9f\xa4\xa5\xf0\x9f\xa4\xa5\xf0\x9f\xa4\xa5\xf0\x9f\xa4\xa5\xf0\x9f\xa4\xa5\xf0\x9f\xa4\xa5\xf0\x9f\x90\x80\xf0\x9f\x96\x95'
,
7/22/19 23:22,b'@MatthewGellert @realDonaldTrump Get the facts before you tweet. You might be surprised as to how far off track you are.'
,
7/22/19 23:22,b'@robb_cowell @EddieDonovan @madmamma4 @realDonaldTrump Rachael chandelier is a child trafficker smallsvills actress\xe2\x80\xa6 https://t.co/8JWc7niZf5'
,
7/22/19 23:22,b'@realDonaldTrump That\xe2\x80\x99s explains a lot. I\xe2\x80\x99ve been wondering why they haven\xe2\x80\x99t let any white people in their squad.'
,
7/22/19 23:22,b'@PastorDScott THIS IS THE FRUIT OF YOUR LABOR. THIS IS THE BLESSING OF WORKING WITH @realDonaldTrump AND HAVING A S\xe2\x80\xa6 https://t.co/s56LBmMJT2'
,
7/22/19 23:22,b'@realDonaldTrump Again the president is fake news from a guy who he would be advocating should leave the country.'
,
7/22/19 23:22,b'@GOPChairwoman @realDonaldTrump Well your GOP followers will believe you but the rest of us know better. We actually read.'
,
7/22/19 23:22,"b'@realDonaldTrump Mr. President you can\'t ""Drain the Swamp"" if you continue to feed the beast! We have to stop the R\xe2\x80\xa6 https://t.co/AqQAX8ZHNR'"
,
7/22/19 23:22,b'@realDonaldTrump To compensate for your powerfully minuscule penis?  Impeach trump.  @RepJerryNadler @RepAdamSchiff\xe2\x80\xa6 https://t.co/WHTtIuAZ9v'
,
7/22/19 23:22,b'@realDonaldTrump @POTUS @RudyGiuliani @FoxNews @seanhannity @TheJusticeDept Muellers report should be thrown in tra\xe2\x80\xa6 https://t.co/tZmNoOj2Mu'
,
7/22/19 23:22,b'@realDonaldTrump thats a lie'
,
7/22/19 23:22,"b'@SpringSteps @realDonaldTrump And how are you certain he ""isn\'t wrong""?'"
,
7/22/19 23:22,b'@realDonaldTrump Says a fake blonde.'
